# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	23246	23956	+	PJMBPO_00021	phoP	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	SO:0001217, UniRef:UniRef50_P13792
contig_1	cds	23949	25655	+	PJMBPO_00022	pnpS	two-component system histidine kinase PnpS	SO:0001217, UniRef:UniRef50_UPI000E69020E
contig_1	cds	25847	28468	+	PJMBPO_00023		DNA polymerase I	SO:0001217, UniRef:UniRef50_K9B5S8
contig_1	cds	28490	29362	+	PJMBPO_00024		Formamidopyrimidine-DNA glycosylase	SO:0001217, UniRef:UniRef50_A0A9Q4H0I6
contig_1	cds	29371	29967	+	PJMBPO_00025		Dephospho-CoA kinase	SO:0001217, UniRef:UniRef50_Q49YB9
contig_1	cds	30130	31164	+	PJMBPO_00026		Glyceraldehyde-3-phosphate dehydrogenase 2	SO:0001217, UniRef:UniRef50_O34425
contig_1	cds	31343	31801	+	PJMBPO_00027	nrdR	Transcriptional repressor NrdR	SO:0001217, UniRef:UniRef50_Q5WEH3
contig_1	cds	31813	33195	+	PJMBPO_00028	dnaD	DnaD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2T4PV27
contig_1	cds	33195	34115	+	PJMBPO_00029	dnaI	Primosomal protein DnaI	SO:0001217, UniRef:UniRef50_Q2FXP5
contig_1	cds	34430	36358	+	PJMBPO_00030		Threonine--tRNA ligase 1	SO:0001217, UniRef:UniRef50_P18255
contig_1	ncRNA-region	36428	36600	+			Lysine riboswitch aptamer	RFAM:RF00168, SO:0000035
contig_1	cds	36689	38182	+	PJMBPO_00031	lysP	Lysine-specific permease LysP	SO:0001217, UniRef:UniRef50_A2RNZ6
contig_1	ncRNA-region	38235	38360	+			Ribosomal protein L20 leader	RFAM:RF00558, SO:0000140
contig_1	cds	38384	38914	+	PJMBPO_00032		Translation initiation factor IF-3	SO:0001217, UniRef:UniRef50_A0A7V3BTI7
contig_1	cds	38940	39140	+	PJMBPO_00033		Large ribosomal subunit protein bL35	SO:0001217, UniRef:UniRef50_P55874
contig_1	cds	39183	39542	+	PJMBPO_00034		Large ribosomal subunit protein bL20	SO:0001217, UniRef:UniRef50_Q9RSW7
contig_1	cds	39692	40315	+	PJMBPO_00035		Nudix hydrolase domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FXQ3
contig_1	cds	40318	41247	+	PJMBPO_00036		Tetratricopeptide repeat protein	SO:0001217, UniRef:UniRef50_A0A2T4PV19
contig_1	cds	41341	42621	+	PJMBPO_00037		Trigger factor	SO:0001217, UniRef:UniRef50_P80698
contig_1	cds	42745	44007	+	PJMBPO_00038	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	SO:0001217, UniRef:UniRef50_Q833M7
contig_1	cds	44157	44744	+	PJMBPO_00039	engB	putative GTP-binding protein EngB	SO:0001217, UniRef:UniRef50_Q180E5
contig_1	cds	44804	46156	+	PJMBPO_00040		Glutamyl-tRNA reductase	SO:0001217, UniRef:UniRef50_Q65GJ9
contig_1	cds	46177	47010	+	PJMBPO_00041	hemA	HemA concentration negative effector	SO:0001217, UniRef:UniRef50_A0A239Z3F7
contig_1	cds	47029	47952	+	PJMBPO_00042		Porphobilinogen deaminase	SO:0001217, UniRef:UniRef50_O34090
contig_1	cds	47968	48651	+	PJMBPO_00043		Uroporphyrinogen-III synthase	SO:0001217, UniRef:UniRef50_A0A239Z3I4
contig_1	cds	48648	49631	+	PJMBPO_00044		Delta-aminolevulinic acid dehydratase	SO:0001217, UniRef:UniRef50_P30950
contig_1	cds	49633	50922	+	PJMBPO_00045		Glutamate-1-semialdehyde 2,1-aminomutase	SO:0001217, UniRef:UniRef50_Q2S1S3
contig_1	cds	50978	52048	+	PJMBPO_00046	abrB	AbrB family transcriptional regulator	SO:0001217, UniRef:UniRef50_Q2FXR6
contig_1	ncRNA-region	52097	52309	+			T-box leader	RFAM:RF00230, SO:0000140
contig_1	cds	52350	54980	+	PJMBPO_00047		Valine--tRNA ligase	SO:0001217, UniRef:UniRef50_P36420
contig_1	cds	54989	56251	+	PJMBPO_00048		tetrahydrofolate synthase	SO:0001217, UniRef:UniRef50_Q2FXR9
contig_1	cds	56329	56634	-	PJMBPO_00049		hypothetical protein	
contig_1	cds	56909	58306	+	PJMBPO_00050		Short-chain fatty acids transporter	SO:0001217, UniRef:UniRef50_Q4A0C6
contig_1	cds	58484	59209	+	PJMBPO_00051		Prepilin peptidase	SO:0001217, UniRef:UniRef50_A0A1C9LU99
contig_1	cds	59199	59915	+	PJMBPO_00052		MPN domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2T4PV44
contig_1	cds	59960	60238	+	PJMBPO_00053		DUF340 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A239Z3M2
contig_1	cds	60588	62252	+	PJMBPO_00054		ABC transporter ATP-binding protein/permease	SO:0001217, UniRef:UniRef50_A0A239Z3Y0
contig_1	cds	62249	63997	+	PJMBPO_00055	yheH	Putative multidrug resistance ABC transporter ATP-binding/permease protein YheH	SO:0001217, UniRef:UniRef50_A0A1W7ACC8
contig_1	cds	64368	64811	+	PJMBPO_00056		DUF4930 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A239Z1Q8
contig_1	cds	64913	65770	+	PJMBPO_00057	mreC	Cell shape-determining protein MreC	SO:0001217, UniRef:UniRef50_A0A7Z7YX61
contig_1	cds	65770	66273	+	PJMBPO_00058	mreD	Rod shape-determining protein MreD	SO:0001217, UniRef:UniRef50_A0A2T4PV16
contig_1	ncRNA-region	66333	66406	+			Ribosomal protein L21 leader	RFAM:RF00559, SO:0000140
contig_1	cds	66419	66727	+	PJMBPO_00059		Large ribosomal subunit protein bL21	SO:0001217, UniRef:UniRef50_Q3A1D6
contig_1	cds	66731	67051	+	PJMBPO_00060		Ribosomal processing cysteine protease Prp	SO:0001217, UniRef:UniRef50_A0A380H4K0
contig_1	cds	67062	67346	+	PJMBPO_00061		Large ribosomal subunit protein bL27	SO:0001217, UniRef:UniRef50_Q4A5L3
contig_1	cds	67504	68070	+	PJMBPO_00062		SpoOB alpha-helical domain-containing protein	SO:0001217, UniRef:UniRef50_A0A239Z478
contig_1	cds	68073	69362	+	PJMBPO_00063		GTPase Obg	SO:0001217, UniRef:UniRef50_P20964
contig_1	cds	69375	69836	+	PJMBPO_00064		UPF0735 ACT domain-containing protein SAOUHSC-01752	SO:0001217, UniRef:UniRef50_Q2FXT2
contig_1	cds	69851	70441	+	PJMBPO_00065	ruvA	Holliday junction branch migration complex subunit RuvA	SO:0001217, UniRef:UniRef50_Q2FXT3
contig_1	cds	70455	71450	+	PJMBPO_00066	ruvB	Holliday junction branch migration complex subunit RuvB	SO:0001217, UniRef:UniRef50_A0A1S9M3C3
contig_1	cds	71467	72492	+	PJMBPO_00067		S-adenosylmethionine:tRNA ribosyltransferase-isomerase	SO:0001217, UniRef:UniRef50_Q891Z9
contig_1	cds	72508	73647	+	PJMBPO_00068		Queuine tRNA-ribosyltransferase	SO:0001217, UniRef:UniRef50_A9NG43
contig_1	cds	73660	73923	+	PJMBPO_00069	yajC	Preprotein translocase subunit YajC	SO:0001217, UniRef:UniRef50_B9DNG6
contig_1	cds	74093	76384	+	PJMBPO_00070		Multifunctional fusion protein	SO:0001217, UniRef:UniRef50_A0A4P6ZWP2
contig_1	cds	76886	79180	+	PJMBPO_00071	recJ	Single-stranded-DNA-specific exonuclease RecJ	SO:0001217, UniRef:UniRef50_A0AAP8TSV1
contig_1	cds	79180	79698	+	PJMBPO_00072		Adenine phosphoribosyltransferase	SO:0001217, UniRef:UniRef50_Q1G9R7
contig_1	cds	79818	82007	+	PJMBPO_00073		GTP pyrophosphokinase	SO:0001217, UniRef:UniRef50_A0A2N6SH02
contig_1	cds	82021	82473	+	PJMBPO_00074		D-aminoacyl-tRNA deacylase	SO:0001217, UniRef:UniRef50_Q2FXU2
contig_1	cds	82470	83342	+	PJMBPO_00075	lytH	putative cell wall amidase LytH	SO:0001217, UniRef:UniRef50_Q2FXU3
contig_1	cds	83665	84930	+	PJMBPO_00076		Histidine--tRNA ligase	SO:0001217, UniRef:UniRef50_O32039
contig_1	cds	84930	86702	+	PJMBPO_00077		Aspartate--tRNA(Asp/Asn) ligase	SO:0001217, UniRef:UniRef50_B7GFR1
contig_1	ncRNA	86760	86952	+	PJMBPO_00078	6S	6S / SsrS RNA	RFAM:RF00013, SO:0000655
contig_1	cds	87006	87773	+	PJMBPO_00079		Molybdopterin and thiamine biosynthesis family	SO:0001217, UniRef:UniRef50_A0A2S5CXU7
contig_1	cds	87817	89079	-	PJMBPO_00080		Replication-associated recombination protein A	SO:0001217, UniRef:UniRef50_A0A1S0ZBL1
contig_1	cds	89169	89588	+	PJMBPO_00081		Rrf2 family transcriptional regulator	SO:0001217, UniRef:UniRef50_B9E703
contig_1	cds	89804	90538	+	PJMBPO_00082		Serine protease	SO:0001217, UniRef:UniRef50_A0A239Z350
contig_1	cds	90584	91594	-	PJMBPO_00083		LLM class flavin-dependent oxidoreductase	SO:0001217, UniRef:UniRef50_A0A0D6HHK7
contig_1	cds	91911	93536	+	PJMBPO_00084	sal(A)	ABC-F type ribosomal protection protein Sal(A)	NCBIProtein:WP_063854920.1, SO:0001217, UniRef:UniRef50_T1RRK4
contig_1	cds	93596	94744	+	PJMBPO_00085		cysteine desulfurase	SO:0001217, UniRef:UniRef50_A0A0D6XSI4
contig_1	cds	94737	95846	+	PJMBPO_00086	mnmA	tRNA-specific 2-thiouridylase MnmA	SO:0001217, UniRef:UniRef50_Q812R6
contig_1	cds	95933	96601	+	PJMBPO_00087		hypothetical protein	PFAM:PF00515.34, PFAM:PF04733.20, PFAM:PF07719.23, PFAM:PF12895.13, PFAM:PF13174.12, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13374.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12, PFAM:PF14561.12, PFAM:PF20308.4, PFAM:PF21545.3, PFAM:PF23914.1, SO:0001217, UniRef:UniRef50_A0A328A700
contig_1	cds	96604	98994	+	PJMBPO_00088	recD2	ATP-dependent RecD2 DNA helicase	SO:0001217, UniRef:UniRef50_A0A654AZ37
contig_1	ncRNA-region	99034	99199	+			T-box leader	RFAM:RF00230, SO:0000140
contig_1	cds	99246	101876	+	PJMBPO_00089		Alanine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q03ER8
contig_1	cds	101944	102213	+	PJMBPO_00090		UPF0297 protein Swol_0469	SO:0001217, UniRef:UniRef50_Q0AZQ0
contig_1	cds	102197	102634	+	PJMBPO_00091		Putative pre-16S rRNA nuclease	SO:0001217, UniRef:UniRef50_Q8DRE2
contig_1	cds	102654	102959	+	PJMBPO_00092		UPF0473 protein SAOUHSC_01719	SO:0001217, UniRef:UniRef50_Q2FXW2
contig_1	cds	103039	104154	+	PJMBPO_00093		Endolytic murein transglycosylase	SO:0001217, UniRef:UniRef50_A0A239Z568
contig_1	cds	104340	104981	+	PJMBPO_00094		tRNA 5-hydroxyuridine methyltransferase	SO:0001217, UniRef:UniRef50_A0A2A1K8K5
contig_1	cds	104981	105904	+	PJMBPO_00095		tRNA hydroxylation protein P2	SO:0001217, UniRef:UniRef50_O32035
contig_1	cds	105928	107196	+	PJMBPO_00096		tRNA hydroxylation protein P1	SO:0001217, UniRef:UniRef50_O32034
contig_1	cds	107196	107819	+	PJMBPO_00097		Uridine kinase	SO:0001217, UniRef:UniRef50_A0Q140
contig_1	cds	107849	108325	+	PJMBPO_00098	greA	Transcription elongation factor GreA	SO:0001217, UniRef:UniRef50_Q2FXW7
contig_1	cds	108473	109195	+	PJMBPO_00099	pxpB	5-oxoprolinase subunit PxpB	SO:0001217, UniRef:UniRef50_A0AAJ4SHQ2
contig_1	cds	109195	110202	+	PJMBPO_00100		Carboxyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2T4PV81
contig_1	cds	110199	110618	+	PJMBPO_00101		Acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	SO:0001217, UniRef:UniRef50_A0AAX3W1H7
contig_1	cds	110630	111970	+	PJMBPO_00102		Biotin carboxylase	SO:0001217, UniRef:UniRef50_A0A2T4PV93
contig_1	cds	111983	112741	+	PJMBPO_00103		5-oxoprolinase subunit A	SO:0001217, UniRef:UniRef50_B9E7M7
contig_1	cds	112753	113991	+	PJMBPO_00104		Divalent metal cation transporter	SO:0001217, UniRef:UniRef50_Q5HNU7
contig_1	cds	114060	114749	+	PJMBPO_00105		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	SO:0001217, UniRef:UniRef50_Q4L6V0
contig_1	cds	114762	114869	+	PJMBPO_00106		hypothetical protein	
contig_1	cds	114980	115504	+	PJMBPO_00107		Haloacid dehalogenase	SO:0001217, UniRef:UniRef50_A0A511WLT8
contig_1	cds	115507	116607	+	PJMBPO_00108	yqeH	Uncharacterized protein YqeH	SO:0001217, UniRef:UniRef50_P54453
contig_1	cds	116620	117438	+	PJMBPO_00109		Shikimate dehydrogenase (NADP(+))	SO:0001217, UniRef:UniRef50_Q5HNV1
contig_1	cds	117432	117722	+	PJMBPO_00110		RNA-binding protein	SO:0001217, UniRef:UniRef50_A0A099WAK3
contig_1	cds	117727	118299	+	PJMBPO_00111		hypothetical protein	PFAM:PF01467.32
contig_1	cds	118289	118861	+	PJMBPO_00112		bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	SO:0001217, UniRef:UniRef50_A0A143P804
contig_1	cds	118874	119227	+	PJMBPO_00113	rsfS	Ribosomal silencing factor RsfS	SO:0001217, UniRef:UniRef50_A0A380HMQ6
contig_1	cds	119227	119943	+	PJMBPO_00114		Methyltransferase	SO:0001217, UniRef:UniRef50_A0A239Z4V8
contig_1	cds	119986	120633	+	PJMBPO_00115		hypothetical protein	PFAM:PF00633.29, PFAM:PF12836.13, PFAM:PF14520.12
contig_1	cds	120694	121149	+	PJMBPO_00116	comE	ComE operon protein 2	SO:0001217, UniRef:UniRef50_A0A0D1LJK1
contig_1	cds	121165	123477	+	PJMBPO_00117		Competence protein ComEC	SO:0001217, UniRef:UniRef50_A0A239Z3P5
contig_1	cds	123512	123649	-	PJMBPO_00118		hypothetical protein	
contig_1	cds	123741	124715	+	PJMBPO_00119		DNA polymerase III subunit delta	SO:0001217, UniRef:UniRef50_K9AV25
contig_1	cds	124789	125040	-	PJMBPO_00120		Small ribosomal subunit protein bS20	SO:0001217, UniRef:UniRef50_A0AAP8PMH8
contig_1	cds	125275	127098	+	PJMBPO_00121		Elongation factor 4	SO:0001217, UniRef:UniRef50_Q5SKA7
contig_1	cds	127153	128271	+	PJMBPO_00122	hemW	Heme chaperone HemW	SO:0001217, UniRef:UniRef50_A0A0D6HI97
contig_1	cds	128388	129362	+	PJMBPO_00123	hrcA	Heat-inducible transcription repressor HrcA	SO:0001217, UniRef:UniRef50_A0A239Z555
contig_1	cds	129390	129977	+	PJMBPO_00124	grpE	Protein GrpE	SO:0001217, UniRef:UniRef50_A0A2T4PVA6
contig_1	cds	130022	131848	+	PJMBPO_00125	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_E8LD11
contig_1	cds	131943	133076	+	PJMBPO_00126	dnaJ	Chaperone protein DnaJ	SO:0001217, UniRef:UniRef50_P95830
contig_1	cds	133080	134012	+	PJMBPO_00127		Ribosomal protein L11 methyltransferase	SO:0001217, UniRef:UniRef50_Q49Y20
contig_1	cds	134021	134770	+	PJMBPO_00128		Ribosomal RNA small subunit methyltransferase E	SO:0001217, UniRef:UniRef50_A0A1D4GHQ0
contig_1	cds	134777	136123	+	PJMBPO_00129	mtaB	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	SO:0001217, UniRef:UniRef50_P54462
contig_1	cds	136248	136424	+	PJMBPO_00130		Small ribosomal subunit protein bS21	SO:0001217, UniRef:UniRef50_A0A3A9KAP7
contig_1	cds	136635	137351	+	PJMBPO_00131		NfeD-like C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FXZ8
contig_1	cds	137375	138370	+	PJMBPO_00132	floA	Flotillin-like protein FloA	SO:0001217, UniRef:UniRef50_B3ETU2
contig_1	cds	138386	139090	+	PJMBPO_00133		Putative staphylococcal protein	SO:0001217, UniRef:UniRef50_A0A239Z578
contig_1	cds	139189	139692	+	PJMBPO_00134		DUF304 domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAI8DHS8
contig_1	cds	139728	140675	+	PJMBPO_00135		PhoH-like protein	SO:0001217, UniRef:UniRef50_P46343
contig_1	cds	140677	141138	+	PJMBPO_00136	ybeY	Endoribonuclease YbeY	SO:0001217, UniRef:UniRef50_Q2FY02
contig_1	cds	141131	141478	+	PJMBPO_00137		Diacylglycerol kinase	SO:0001217, UniRef:UniRef50_A0A380G8P9
contig_1	cds	141498	141902	+	PJMBPO_00138		hypothetical protein	PFAM:PF00383.29
contig_1	cds	141903	142802	+	PJMBPO_00139		GTPase Era	SO:0001217, UniRef:UniRef50_P0A3C1
contig_1	cds	142825	143577	+	PJMBPO_00140	recO	DNA repair protein RecO	SO:0001217, UniRef:UniRef50_A0A2T4PRG2
contig_1	cds	143679	145067	-	PJMBPO_00141		Glycine--tRNA ligase	SO:0001217, UniRef:UniRef50_B9E6V6
contig_1	cds	145350	145997	+	PJMBPO_00142	ccpN	Transcriptional repressor CcpN	SO:0001217, UniRef:UniRef50_O34994
contig_1	cds	146012	146827	+	PJMBPO_00143		Putative pyruvate, phosphate dikinase regulatory protein	SO:0001217, UniRef:UniRef50_Q2FY10
contig_1	cds	146839	148611	+	PJMBPO_00144		DNA primase	SO:0001217, UniRef:UniRef50_O05338
contig_1	cds	148638	149747	+	PJMBPO_00145	sigA	RNA polymerase sigma factor SigA	SO:0001217, UniRef:UniRef50_P52329
contig_1	cds	149848	150201	+	PJMBPO_00146		hypothetical protein	PFAM:PF00034.26, PFAM:PF13442.11
contig_1	cds	150256	150921	+	PJMBPO_00147		tRNA-m1A22 methylase	SO:0001217, UniRef:UniRef50_A0A239Z5U5
contig_1	cds	150921	152012	+	PJMBPO_00148		GTP cyclohydrolase 1 type 2-like protein	SO:0001217, UniRef:UniRef50_P67272
contig_1	cds	152041	153009	-	PJMBPO_00149		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	SO:0001217, UniRef:UniRef50_P58676
contig_1	cds	153159	154493	+	PJMBPO_00150	cshB	DEAD-box ATP-dependent RNA helicase CshB	SO:0001217, UniRef:UniRef50_Q2FY15
contig_1	cds	154503	155393	+	PJMBPO_00151		putative endonuclease 4	SO:0001217, UniRef:UniRef50_Q81LV1
contig_1	cds	155502	156308	+	PJMBPO_00152		ATP-binding cassette domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1W7AC50
contig_1	cds	156409	157290	+	PJMBPO_00153		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A380G8P2
contig_1	cds	157253	157666	+	PJMBPO_00154		hypothetical protein	
contig_1	cds	157947	158510	-	PJMBPO_00155		hypothetical protein	
contig_1	cds	158529	159629	-	PJMBPO_00156		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	SO:0001217, UniRef:UniRef50_Q97I56
contig_1	cds	159662	160417	-	PJMBPO_00157		DUF1189 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2T4PRF1
contig_1	cds	160582	161184	+	PJMBPO_00158		Superoxide dismutase [Mn/Fe] 2	SO:0001217, UniRef:UniRef50_Q2G261
contig_1	cds	161378	163420	+	PJMBPO_00159		Putative penicillin-binding protein	SO:0001217, UniRef:UniRef50_P83331
contig_1	cds	163922	164872	+	PJMBPO_00160	pstS	Phosphate-binding protein PstS	SO:0001217, UniRef:UniRef50_Q49XJ1
contig_1	cds	164939	165868	+	PJMBPO_00161		Phosphate transport system permease protein	SO:0001217, UniRef:UniRef50_A0A235FA99
contig_1	cds	165870	166772	+	PJMBPO_00162	pstA	Phosphate transport system permease protein PstA	SO:0001217, UniRef:UniRef50_B9E6T5
contig_1	cds	166800	167639	+	PJMBPO_00163		Phosphate ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A4Q2KGN5
contig_1	cds	167641	168288	+	PJMBPO_00164	phoU	Phosphate-specific transport system accessory protein PhoU	SO:0001217, UniRef:UniRef50_A0A4R6BXI3
contig_1	cds	168365	168514	+	PJMBPO_00165		Large ribosomal subunit protein bL33	SO:0001217, UniRef:UniRef50_A0A2C8ELJ3
contig_1	cds	168665	169219	+	PJMBPO_00166		5-formyltetrahydrofolate cyclo-ligase	SO:0001217, UniRef:UniRef50_A0A291JKM9
contig_1	cds	169220	170665	+	PJMBPO_00167		Putative membrane peptidase, contains TPR repeat domain	SO:0001217, UniRef:UniRef50_A0A239Z594
contig_1	cds	170670	170861	+	PJMBPO_00168		SHOCT domain-containing protein	SO:0001217, UniRef:UniRef50_Q49XZ1
contig_1	cds	170858	171829	+	PJMBPO_00169		Glucokinase	SO:0001217, UniRef:UniRef50_Q56198
contig_1	cds	171829	172143	+	PJMBPO_00170		Thiamine-binding protein domain-containing protein	SO:0001217, UniRef:UniRef50_C8W5K0
contig_1	cds	172173	172412	-	PJMBPO_00171		DUF2759 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C2DPC6
contig_1	cds	172510	173142	+	PJMBPO_00172		Metallo-beta-lactamase domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FY29
contig_1	cds	173176	173424	-	PJMBPO_00173		DUF2626 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0B4RAU1
contig_1	cds	173578	174480	+	PJMBPO_00174		Competence protein ComGA	SO:0001217, UniRef:UniRef50_A0A239Z6B8
contig_1	cds	174598	175158	-	PJMBPO_00175		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2T4PQA4
contig_1	cds	175238	175438	+	PJMBPO_00176		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A239ZGD6
contig_2	cds	286	489	-	PJMBPO_00177		hypothetical protein	
contig_2	cds	671	937	+	PJMBPO_00178		hypothetical protein	
contig_2	cds	958	1470	+	PJMBPO_00179		hypothetical protein	
contig_2	cds	1549	2067	-	PJMBPO_00180		hypothetical protein	PFAM:PF13508.13, PFAM:PF13673.13
contig_2	cds	2174	2617	+	PJMBPO_00181	ytoQ	Uncharacterized protein YtoQ	SO:0001217, UniRef:UniRef50_O34305
contig_2	cds	2669	3130	-	PJMBPO_00182		Integral membrane protein	SO:0001217, UniRef:UniRef50_A0A240A2S2
contig_2	cds	3141	3899	-	PJMBPO_00183		Membrane protein	SO:0001217, UniRef:UniRef50_A0A240A2W0
contig_2	cds	4122	4562	+	PJMBPO_00184	sarZ	HTH-type transcriptional regulator SarZ	SO:0001217, UniRef:UniRef50_A0A240A4G2
contig_2	cds	4607	5176	-	PJMBPO_00185		hypothetical protein	
contig_2	cds	5187	5672	-	PJMBPO_00186		DUF1648 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2T4PVR1
contig_2	cds	5767	6981	-	PJMBPO_00187		hypothetical protein	
contig_2	cds	7163	7372	-	PJMBPO_00188		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2T4PVP7
contig_2	cds	7576	8406	+	PJMBPO_00189		2,5-diketo-D-gluconic acid reductase B	SO:0001217, UniRef:UniRef50_P15339
contig_2	cds	8456	9388	+	PJMBPO_00190		NADP-dependent oxidoreductase domain-containing protein	SO:0001217, UniRef:UniRef50_Q2G0G6
contig_2	cds	9782	10828	+	PJMBPO_00191		Ferredoxin--NADP reductase	SO:0001217, UniRef:UniRef50_Q2FVP8
contig_2	cds	10992	11807	-	PJMBPO_00192		Regulatory protein	SO:0001217, UniRef:UniRef50_A0A240A319
contig_2	cds	12110	13471	-	PJMBPO_00193		Glycerol-3-phosphate transporter	SO:0001217, UniRef:UniRef50_A0A0M3DN05
contig_2	cds	13658	14239	+	PJMBPO_00194	tetR	TetR family transcriptional regulator protein	SO:0001217, UniRef:UniRef50_A0A380BUE0
contig_2	cds	14252	14797	+	PJMBPO_00195	ymcC	Uncharacterized membrane protein YmcC	SO:0001217, UniRef:UniRef50_O31780
contig_2	cds	14839	15864	-	PJMBPO_00196		HlyC/CorC family transporter	SO:0001217, UniRef:UniRef50_Q49W51
contig_2	cds	16097	16741	+	PJMBPO_00197		Fibronectin-binding protein	SO:0001217, UniRef:UniRef50_R3W974
contig_2	cds	17042	17644	-	PJMBPO_00198		Response regulator transcription factor	SO:0001217, UniRef:UniRef50_Q2FYW0
